GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
snmp-core,com.btisystems.pronx.ems.core.snmp.trapreceiver,TrapReceiver,19,269,5,13,6,65,6,14,1,10
snmp-core,com.btisystems.pronx.ems.core.snmp.trapreceiver,TrapSourceMapper,5,206,5,15,2,41,5,11,0,6
snmp-core,com.btisystems.pronx.ems.core.snmp.trapreceiver,TrapReceiverConfiguration,0,31,0,0,0,13,0,9,0,9
snmp-core,com.btisystems.pronx.ems.core.snmp,ISnmpConfigurationFactory.AccessType,9,29,0,0,0,3,2,2,2,2
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpConfiguration,2,130,1,1,0,48,1,25,0,25
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpTableWalker,12,283,0,28,3,62,0,22,0,8
snmp-core,com.btisystems.pronx.ems.core.snmp,DefaultSnmpConfigurationFactory,0,9,0,0,0,4,0,2,0,2
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpSession.TreeResponseListener,57,278,11,17,6,49,9,13,0,8
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpSession,5,466,2,26,1,103,2,31,0,19
snmp-core,com.btisystems.pronx.ems.core.snmp,OIDComparator,6,164,4,26,2,45,4,15,0,4
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpTableWalker.TableResponseListener,40,191,7,13,6,44,6,13,0,9
snmp-core,com.btisystems.pronx.ems.core.snmp,WalkException,0,10,0,0,0,2,0,1,0,1
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpIoException,18,14,0,0,2,2,1,1,1,1
snmp-core,com.btisystems.pronx.ems.core.snmp,ReadWriteSnmpConfigurationFactory,0,18,0,2,0,7,0,3,0,2
snmp-core,com.btisystems.pronx.ems.core.snmp,V2cSnmpConfiguration,0,166,0,2,0,28,0,7,0,6
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpTableWalker.TableIndexRetrievalDescriptor,0,48,0,2,0,9,0,3,0,2
snmp-core,com.btisystems.pronx.ems.core.snmp,WalkResponse,8,74,1,3,3,24,3,13,2,12
snmp-core,com.btisystems.pronx.ems.core.snmp,SnmpSessionFactory,11,151,4,10,1,34,3,11,0,7
snmp-core,com.btisystems.pronx.ems.core.snmp.trapsender,TrapSender.new Object() {...},12,77,0,0,0,1,0,1,0,1
snmp-core,com.btisystems.pronx.ems.core.snmp.trapsender,TrapSender,4,292,7,15,0,68,7,18,0,12
snmp-core,com.btisystems.pronx.ems.core.snmp.trapsender,TrapRecipient,0,33,0,0,0,13,0,7,0,7
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,FieldType,11,33,0,0,2,3,3,3,3,3
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,NotificationDefinition,50,198,8,38,12,32,9,31,4,13
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,NotificationList,1,106,4,18,0,21,4,15,0,8
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,FieldList,1,106,4,18,0,21,4,15,0,8
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,NotificationMeta,11,104,1,21,4,17,3,18,2,8
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,FieldReference,6,64,2,12,2,12,3,11,1,6
snmp-core,com.btisystems.pronx.ems.schemas.meta.notification,FieldDescription,1,204,1,33,0,35,1,32,0,16
snmp-core,com.btisystems.pronx.ems.core.model,I_Device,0,16,0,0,0,6,0,6,0,6
snmp-core,com.btisystems.pronx.ems.core.model,DeviceEntityDescription,7,45,0,0,1,11,1,5,1,5
snmp-core,com.btisystems.pronx.ems.core.model,DeviceEntityDescription.FieldDescription,30,24,0,0,2,9,2,4,2,4
snmp-core,com.btisystems.pronx.ems.core.model,ClassRegistry,25,371,5,31,8,82,7,29,2,16
snmp-core,com.btisystems.pronx.ems.core.model,DeviceEntity,21,463,6,26,5,102,6,42,0,32
snmp-core,com.btisystems.pronx.ems.core.model,NetworkDevice,76,365,10,30,18,96,10,26,0,16
snmp-core,com.btisystems.pronx.ems.core.model,AbstractRootEntity,94,262,0,10,17,56,1,19,1,14
snmp-core,com.btisystems.pronx.ems.core.model,DeviceEntityDescription.FieldType,5,143,0,0,0,14,1,3,1,3
snmp-core,com.btisystems.pronx.ems.core.model,GeneratedIdentifiers,3,0,0,0,2,0,1,0,1,0
snmp-core,com.btisystems.pronx.ems.core.model,ClassRegistry.new Comparator() {...},0,19,0,0,0,3,0,2,0,2
snmp-core,com.btisystems.pronx.ems.core.model,NotificationDescription,0,80,1,3,0,21,1,9,0,8
snmp-core,com.btisystems.pronx.ems.core.exception,FieldAccessMethodException,0,20,0,0,0,2,0,1,0,1
snmp-core,com.btisystems.pronx.ems.core.exception,DetailedFaultException,6,48,1,1,1,14,1,6,0,6
snmp-core,com.btisystems.pronx.ems.core.exception,SystemObjectIdException,11,21,0,0,2,3,1,2,1,2
snmp-core,com.btisystems.pronx.ems.core.exception,ClassRegistryException,14,0,0,0,2,0,1,0,1,0
snmp-core,com.btisystems.pronx.ems.core.exception,InvalidFieldNameException,0,16,0,0,0,2,0,1,0,1
